,car_model,year_of_manufacture,price,fuel
0,ritz,2014,5000.0,Petrol
1,sx4,2013,7089.55,Diesel
2,ciaz,2017,10820.9,Petrol
3,wagon r,2011,4253.73,Petrol
4,swift,2014,6865.67,Diesel
5,vitara brezza,2018,13805.97,Diesel
6,ciaz,2015,10074.63,Petrol
7,s cross,2015,9701.49,Diesel
8,ciaz,2016,13059.7,Diesel
9,ciaz,2015,11119.4,Diesel
10,ritz,2012,4626.87,Diesel
11,ritz,2011,3507.46,Petrol
12,swift,2014,7388.06,Diesel
13,ertiga,2014,8955.22,Diesel
14,dzire,2014,8208.96,Diesel
15,sx4,2011,4402.99,CNG
16,dzire,2015,6940.3,Petrol
17,800,2003,522.39,Petrol
18,alto k10,2016,4477.61,Petrol
19,sx4,2003,3358.21,Petrol
20,corolla altis,2013,10373.13,Petrol
21,etios cross,2015,6716.42,Petrol
22,fortuner,2014,27985.07,Diesel
23,fortuner,2015,35074.63,Diesel
24,fortuner,2017,49253.73,Diesel
25,etios liva,2014,7089.55,Diesel
26,innova,2017,29477.61,Petrol
27,fortuner,2010,13805.97,Diesel
28,corolla altis,2011,6492.54,Petrol
29,corolla altis,2016,21268.66,Petrol
